concept_id	ces	deu	ita	eng	pol	rus	nob	ukr	fra	lat
n14026166	abulie	abulie	abulia	aboulia abulia	abulia	abuliia			aboulie	
n06610063	abrakadabra	abrakadabra	abracadabra	abracadabra	abrakadabra	abrakadabra		abrakadabra	abracadabra	
n00253395	odreagovani	katharsis	catarsi  abreazione	abreaction catharsis katharsis	odreagowanie	katarsis			catharsis	
v02478584				abrogate			annullere		abolir abroger annuler	abrogare abolere
n00231887		abrogation	abrogazione  annullamento	abrogation annulment					abolition abrogation	abrogatio abolitio
n14312172	absces	abscess abszess abszess	apostema postema ascesso	abscess		abscess			abces	apostema abscessus
n06011589	abscisa	abszisse	ascissa	abscissa		abscissa		abstsisa	abscisse	abscissa
n01234345	absence		assenza	absence	absencja				absence	absentia
n01234528	absence absenterstvi	absenz absentismus	assenteismo	absenteeism	absencja	absenteizm		absenteyizm	absenteisme	absentia
n07908411	absint absinth	absinth	assenzio	absinth absinthe	absynt	absent	absint	absent	absinthe	absinthium
a00719328	absolutni	absolut		absolute		absoljutnyj		absoljutnyj	absolu	
n05013204	absolutni nula	absolute nullpunkt	zero assoluto	absolute zero	zero absolutne	absoljutnyj nul		absoljutnyj nul	zero absolu	
a03139045	absolutisticky	absolutistisch		absolutistic absolutist		absoliutistskii	absolutistisk	absoliutist	absolutiste	
n14598079	absorber	absorbens absorber	assorbitore	absorber	absorber	absorber		absorber	absorbant	
n05704266			concentrazione	absorption concentration immersion	koncentracja		konsentrasjon		absorption concentration immersion	
a00006336	absorpcni			absorptive absorbent	higroskopijny	gigroskopicnyj	absorberende	gigroskopichnii	absorbant	absorbens
n04882622		abstinenz	astensione	abstinence abstention	abstynencja	abstinencija			abstinence abstention	
a00011757		abstrakt		abstract	abstrakcyjny	abstraktnyj	abstrakt		abstrait abstraire	
n06468951	synopse	synopse	sinossi	abstract  synopsis precis	synopsa  synopsis abstrakt	sinopsis  konspekt		sinopsis  konspekt	synopse synopsis precis	
n05854150			astrazione astratto	abstract abstraction	abstrakcja abstrakt				abstraction	
n05780104		abstraktion generalisierung	astrazione	abstraction generalisation  generalization	abstrakcja abstrakt				generalisation abstraction	
n02669079		abstrakte kunst abstraktionismus	astrattismo	abstractionism abstract art	abstrakcjonizm	abstrakcionizm	abstrakt kunst	abstrakcionizm	abstractionnisme	
a00860932	abstrakcni	abstrakt		abstractive		abstraktnyj referativnyi		referativnii	abstractif	abstractivu
a02570643	absurdni	absurd		absurd ridiculous derisory		absurdnyj			ridicule derisoire absurde	absurdus
r00301039	absurdne iracionalne	irrational		absurdly	absurdalnie	absurdno neratsional'no		absurdno neratsional'no	absurdement	absurde
n06607809	absurdita smesnost absurdnost	absurditat	assurdita	absurdness absurdity	smiesznosc	absurd absurdnost'	absurditet	absurd	absurdite absurde	
n00419908		misshandlung	maltrattamento	abuse maltreatment ill-treatment	maltretowanie		mishandling		maltraitance abus	
n09186359		abgrund	precipizio abisso	abysm abyss			avgrunn		abysse abime abime abyss precipice	
n14627655	aktinium	actinium	attinio	ac actinium	ac aktyn	aktinij	actinium	aktinii	ac actinium	actinium
n11756092	akacie	akazie	acacia	acacia	akacja	akacija	akasie	akacija	acacia	acacia
n11757653		mimose acacia dealbata	acacia dealbata mimosa	acacia dealbata mimosa					acacia dealbata mimosa	
n11757851	akacie farnesova	acacia farnesiana		acacia farnesiana cassie	akacja farnesa				acacia farnesiana cassier	
a02599939	akademicky	akademisch		academic		akademiceskij	akademisk		academique	
n09759069		akademikerin akademiker	universitario  accademico	academic academician	akademik				academicien universitaire	
n09759501		akademiker	accademico	academician	akademik	akademik			academicien	
n08280124	akademie	akademie	accademia	academy		akademija			academie	
n08277805	akademie	akademie	accademia	academy		akademija			academie	
n01923171		acanthocephala	acanthocephala acantocefali	acanthocephala					acanthocephales acanthocephala acanthocephale	
n14221601	akantolyza	akantholyse	acantolisi	acantholysis	akantoliza				acantholyse	
n02182498		acanthoscelides	acanthoscelides	acanthoscelides genus acanthoscelides	acanthoscelides				acanthoscelides	
n12812235	akant	akanthus	acanto	acanthus	akant	akant		akant	acanthe  acanthus	acanthus
n14598834	akaricid	akarizid	acaricida	acaracide acaricide	akarycyd				acaricide	
n01780026	tyroglyphidae	tyroglyphidae  acaridae	tyroglyphidae acaridae	acaridae					tyroglyphidae acaridae acariens	
n14453066	akarioza	acariasis acarinose	acariasi acariosi	acaridiasis acariasis acariosis	akaroza				acariose	
n01775879	acari roztoci	acarina acari	acarina acari	acarina  order acarina	roztocze				acarien acarina	
n01781570	roztoc	acarus	acaro	acarus	roztocze acarus				acarien acarus	
n00330457			accelerazione accelerata	acceleration	akceleracja		akselerasjon		acceleration	acceleratio
a02535161	zrychlujici		accelerativo acceleratore	accelerative  acceleratory		akselerator			accelerateur	
n02670683		gaspedal	acceleratore	accelerator accelerator pedal gas pedal gas	akcelerator pedal gazu gaz	pedal gaza gaz akselerator	gasspedal		gaz accelerateur	
n14723628	katalyzator	katalysator	catalizzatore accelerante	accelerator catalyst	katalizator	katalizator		katalizator	accelerateur catalyseur	
v02236124	prijimat prijmout			accept have		prinimat  prinjat		pryjmaty pryjnjaty	avoir accepter	capio habeo
n00180413			accettazione adozione	acceptance adoption acceptation	adopcja				adoption acceptation	
n01606522	jestrab		astore accipiter gentilis	accipiter gentilis	jastrzab	teterevjatnik		teterevjatnyk	accipiter gentilis	accipiter accipiter gentilis
n06691684	aklamace		acclamazione	acclamation	aplauz aklamacja		applaus akklamasjon		acclamation	acclamatio
v00393677	aklimatizovat	akklimatisieren		acclimate acclimatise acclimatize	zaaklimatyzowac				acclimater	
n13424643	aklimatizace	acclimatation  akklimatisierung acclimatisierung acclimatisation akklimatisation	acclimazione acclimamento acclimatazione acclimatamento	acclimation acclimatization acclimatisation	aklimatyzacja	akklimatizirovanije	akklimatisering		acclimatation  acclimatement	
n07369604	akomodace		adeguamento aggiustamento	accommodation adjustment	akomodacja	akkomodacija			accommodation ajustement	
n09760913		begleiter	accompagnatore	accompanist accompanyist	akompaniator	akkompaniator	akkompagnator	akompaniator	accompagnateur	
n09761068	komplic spoluvinik	komplize	complice accomplice	accomplice	wspolnik				complice	
n06773434		pakt	patto trattato	accord treaty pact	traktat	pakt	traktat		traite accord pacte	pactio pactum
n02672831	akordeon harmonika	akkordeon handharmonika ziehharmonika	fisarmonica	accordion	harmonia akordeon harmoszka garmoszka	akkordeon garmonika garmon	trekkspill	akordeon harmonija	accordeon	accordio
n09761310	harmonikar	akkordeonist akkordeonistin akkordeonspielerin		accordionist	akordeonista harmonista	akkordeonist garmonist			accordeoniste accordeonsite	
n10369699	porodnik		ostetrico	accoucheur obstetrician	akuszer  poloznik	akuserka akuser		akusher	accoucheur obstetricien	
v02342016		ausrusten		accoutre accouter		davat	utruste	davaty	accoutrer accouter	accustor
n01140193	akreditace	akkreditierung	accreditamento	accreditation	akredytacja	akkreditovanie akkreditatsiia	akkreditering		accreditation	accreditatio
a00178811		autorisiert		accredited licensed licenced					accredite autorises autorisees autorisa autorisames autorisai licencie autoriserent autorise	
n04328329	akumulator	akkumulator	accumulatore	accumulator	akumulator	akkumuljator	akkumulator	akumuliator	accumulateur	
n06311557	akuzativ	akkusativ	accusativo	accusative	accusativus  akuzatyw				accusatif	accusativus
a00924257			accusante  accusatorio accusatoria	accusative accusatory					accusateur accusatoire accusateuse accusatif	accusatorius
n09762385		anklagerin  accuser anklager klager	accusatore	accuser		obvinitel'	anklager		accusateur	accusator
n02673291	eso	as	asso	ace	as				as ace	
n14019441		azephalie acephalie	acefalia	acephaly acephalism acephalia	acefalia	atsefaliia		atsefaliia	acephalie acephalle	acephalia
n12752039		acer	aceri acer	acer	acer				acer	
n12753007	acer dasycarpum	acer dasycarpum acer saccharinum	acer dasycarpum acer saccharinum	acer saccharinum					acer saccharinum	
n05596224			acetabulo acetabolo	acetabulum					acetabulum acetabule acetabulum	acetabulum
n14710805	acetal	acetal	acetale	acetal	acetal				acetal	
n14711008	acetaldehyd ethanal	acetaldehyd	etanale acetaldeide	acetaldehyde ethanal	etanal acetaldehyd				ethyl aldehyde acetaldehyde ethanal	
n02674912	acetanilid	acetanilid		acetanilide acetanilid	acetanilid				acetanilide	
n14267205	acetonemie	ketosis acetonamie	chetosi  acetonemia	acetonemia ketonemia ketosis	acetonemia ketonemia				acetonemie	
n07828987	ocet	essig	aceto	acetum vinegar	ocet	ocet		ocet	vinaigre	acetum
n14594456	acetyl	acetylgruppe	acetile	acetyl acetyl group	acetyl  grupa acetylowa				acetyle groupe acetyle	
n13425637		azetylieren azetylierung acetylierung	acetilazione	acetylation	acetylowanie				acetylation	
n14808418	acetylcholin	azetylcholin	acetilcolina	acetylcholine	acetylocholina				acetylcholine	
n14121804	achondroplazie	achondroplasie	acondroplasia	achondroplasia  achondroplasty	achondroplazja				achondroplasie	
n12774641	zapota achras zapota manilkara zapotilla sapodilla manilkara achras achras sapota	sapotilla achras zapota manilkara zapotilla manilkara zapota manilkara achras achras sapota	achras zapota manilkara zapotilla sapota manilkara zapota sapodilla manilkara achras achras sapota	achras zapota manilkara zapota sapodilla	sapodilla				sapotillier	
a00386392	achromaticky	achromatisch	acromatica apocromatico acromatico	achromatic	achromatyczny	akhromaticheskii		akhromatichnii	achromatique	
n04958634	achromatismus bezbarvost	achromatismus achromasie	acromatismo	achromaticity achromatism	bezbarwnosc	akhromatizm		akhromatizm	achromatisme	
n14054642	achylie	achylie	achilia	achylia	achylia				achylie	
n00647919	acidimetrie	acidimetrie	acidimetria	acidimetry	acydymetria				acidimetrie	
n01349333	acidofil		acidofilo	acidophil acidophile	acydofil				acidophile	
a02369335			acidulo acidula	acidulent acidic acidulous acid					acidule acidulee	acidulus
n02130190	acinonyx	acinonyx gepard	acinonyx ghepardi	acinonyx  genus acinonyx	acinonyx  gepard				acinonyx  guepard	
n02130308	gepard	gepard	ghepardo acinonyx jubatus	acinonyx jubatus	gepard	gepard	gepard	hepard	guepard acinonyx jubatus	
n14222112	akne akne	akne	acne	acne			akne		acne	
n09763349	akolyta	akolyth	accolito	acolyte	akolita	akolit		akolit	acolyte	acolythus
n11722982			aconito	aconite	akonit	akonit borec		borec	aconit	aconitum
n11723227		aconitum akonit		aconitum napellus	aconitum	akonit			aconit napel  aconitum napellus aconit	aconitum
n12267677	zalud		ghianda	acorn	zoladz	zolud	akorn	zolud	gland	glans
a02868489	akusticky	akustisch		acoustical acoustic	akustyczny	akusticeskij	akustisk	akustichnii akustichne akustichna	acoustique	acusticus
n06094774	akustika	akustik	acustica	acoustics	akustyka	akustika	akustikk	akustika	acoustique	
a00029343		gierig begierig	avido	acquisitive		zadnyj skupoj	begjaerlig	skupoyi skupoiu zhadnii skupii	acquisitif  avide	
n05128870		areal	area	acreage	areal				aire acreage	area
n02226598		acrididae	acrididae locuste	acrididae locustidae					acrididae acridides	
n09764381	akrobat	akrobatin akrobat	acrobata	acrobat	acrobat acrobata akrobata akrobatka	akrobatka akrobat	akrobat		acrobate	
n00434075			acrobatismo acrobazia acrobatica	acrobatics	akrobatyka akrobacja				acrobatie	
n12583529		acrocomia	acrocomia	acrocomia	acrocomia				acrocomia	acrocomia
n14998290	akrolein	acrolein	acroleina	acrolein  propenal	akroleina propenal				crolean acroleine propenal	
n14368483	akromegalie	akromegalie	acromegalia	acromegaly acromegalia	akromegalia	akromegaliia	akromegali	akromehalija	acromegalie	
n07091902	akronym	akronym	acronimo	acronym	akronim	akronim	akronym		acronyme	acronimus
n14382766	akrofobie	akrophobie	acrofobia	acrophobia	akrofobia	akrofobiia	akrofobi	akrofobiia	acrophobie	
n02676938	akropole akropolis	akropolis	acropoli	acropolis	akropol	akropol'	akropolis	akropol akropol'	acropole acropolis	acropolis
n05457795	perforatorium akrozom	perforatorium akrosom	perforatorium acrosoma	acrosome	perforatorium akrosom				acrosome	
n14711364	akrylamid	acrylamid	acrilammide acrilamide	acrylamide	akryloamid akrylamid	akrilamid			acrylamide	
n14998421	akrylat	acrylat	acrilato	acrylate	akrylan				acrylate	
n14998677	akrylonitril	acrylnitril	acrilonitrile	acrylonitrile	akrylonitryl				acrylonitrile	
n07009640	dejstvi	akt	atto	act	akt	akt dejstvije	akt	akt	acte	
n00030358	cin	akt handlung	atto azione	act	akt  postepek czyn	akt postupok	handling	akt	acte	
n06532095	zakon		atto	act	akt	akt  zakon		akt	acte	
n06892016			numero	act routine number	numer	nomer			acte nombre numero routine	
n14731334	aktin	aktin	actina	actin	aktyna				actine	
n01914830			attinia actinia	actinia actinian					actinie actinia	
n14584110	aktinoidy aktinoid aktinid	actinoid  actinoide	attinidi attinide attinido	actinide actinon actinoid	aktynowiec	aktinoidy  aktinon aktinoid	aktinoider aktinoide aktinoid	aktinoyidi aktinoyid	actinide actinides	
n12370842		actinidiaceae	actinidiaceae	actinidiaceae	aktinidiowate		actinidiaceae		actinidiaceae	
n14725217	aktinolit	aktinolith	actinolite attinolite	actinolite	aktynolit	aktinolit		aktinolit	actinote	
n02677436	aktinometr	aktinometer	attinometro	actinometer	aktynometr	aktinometr	aktinometer	aktinometr	actinometre	
n01374989	actinomycetes	actinomycetales  actinomycetes	actinomycetales  attinomiceti	actinomycetales order actinomycetales	actinomycetales  actinomycetes				actinomycetales actinomycetales actinomycetes	
n14254102	aktinomykoza	actinomykose	attinomicosi actinomicosi	actinomycosis	aktynomikoza				actinomycose	
n00037396		aktion	azione	action	postepek	postupok			action	actio
n14723079	aktivator	aktivator	attivante attivatore	activator	aktywator				activateur	
n13803158	aktivum	aktiv	attivo	active		aktiv			actif	activum
n05901840	aktivismus	aktivismus	attivismo	activism	aktywizm	aktivizm			activiste activisme	
n14006945	aktivita	action aktivitat	attivita azione	activity action	aktywnosc				action activite	
n09765278	herecka	schauspielerin	istrione attore	actor histrion	aktor	aktjor aktrisa artist artistka		aktor	acteur	actor
n09767700			attrice	actress	aktorka	aktrisa artistka	skuespillerinne	aktrisa aktorka	actrice	actrix
n00710338	akupresura elektroakupunktura lecba akupunkturou	shiatsu		acupressure  shiatsu	akupresura	siacu			shiatsu	
n00710155	akupunktura	akupunktur	agopuntura	acupuncture	akupunktura	akupunktura	akupunktur	akupunktura	acupuncture acuponcture	acupunctura
n14594708	acyl	acyl	acile	acyl	acyl				acyle	
r00001837		n. chr. anno domini a.d. nach christus n.chr.	dopo cristo anno domini	ad a.d. anno domini			etter kristus			ad p. chr. anno domini p. ch. an. chr. a. d.
r00087777	k nekonecnu nekonecne	ad infinitum	infinitamente	ad infinitum					infiniment a l'infini	ad infinitum ad infinitum
n14707361	ada	ada	ada	ada	ada	ada		ada	ada	
n12189620	baobab	adansonia	adansonia	adansonia genus adansonia	baobab adansonia		baobab		adansonia	
n04659090		adaptabilitat	adattabilita	adaptability		adaptivnost'		adaptivnist'	adaptabilite	aptabilitas
n13427078				adaptation adaption	adaptacja	adaptacija		adaptatsiia	adaptation	
a00046109		adaptiv adaptiv-	adattivo	adaptive adaptative		adaptivnyi		adaptivnii	adaptatif	
n02678897	adapter	adapter	adattatore	adaptor adapter	adaptor adapter	adapter			adaptateur	
n15215480	adar	adar	adar adar	adar	adar	adar	adar adar	adar	adar	adar
n08491027	adresa	adresse		address	adres	adres	adresse	adresa	adresse	
n00333203	addukce	adduktion	adduzione	adduction					adduction	adductio
n05291728	adduktor	adduktor	adduttore	adductor	adduktor				adducteur	
n02254531		adelges  chermes	adelges  chermes	adelges	adelges chermes				adelges  chermes	
n11758628		adenanthera	adenanthera	adenanthera genus adenanthera	adenanthera				adenanthera	
n14706889	adenin	adenin	adenina	adenine	adenina				adenine	
n00665970	adenotomie	adenotomie	adenoidectomia	adenoidectomy	adenotomia				adenoidectomie	
n14235793	adenom	adenom adenoma	adenoma	adenoma		adenoma	adenom	adenoma	adenome	
n14204763		endometriose adenomyose	endometriosi	adenomyosis endometriosis	endometrioza	adenomioz		adenomioz	endometriose adenomyose	
n14707101	adenozin	adenosin	adenosina	adenosine	adenozyna				adenosine	
n14708042	adenosintrifosfat  atp adenozin trifosfat	adenosintriphosphat	adenosina trifosfata atp adenosina trifosfato	adenosine triphosphate  atp	adenozynotrifosforan  atp adenozynotrojfosforan	adenozintrifosfat		adenozintrifosfat	atp adenosine triphosphate	
n05414147		vasopressin	vasopressina	adh vasopressin	wazopresyna				adh vasopressine	
n10016103		apostel adept	aderente adepto discepolo	adherent disciple	adherent	apostol	disippel		disciple	discipulus
n06629610		adieu	addio	adieu sayonara au revoir adios arrivederci			adjo farvel		adieu farewell sayonara au revoir arrivederci	
a00992133		feist adipos  fett	adiposo	adipose			fet		adipeux	adipeus adipatus adipinus
a02936020	adjektivni	adjektiv adjektivisch		adjectival adjective					adjectival adjectif	adjectivum
n09770179		adjutant	aiutante	adjutant aide-de-camp	adiutant	adjutant	adjutant		aide de camp  adjudant	
a02904075	administracni administrativni	administrativ		administrative	administracyjny	administrativnyj	administrativ	administrativnii	administratif	
n09770949	administrator	administrator	gestore amministratore	administrator	gestor administrator	administrator			administrateur	
n09771204	admiral		ammiraglio	admiral	admiral	admiral			amiral	
n00588703		admiralsamt admiralitat	ammiragliato	admiralty		admiraltejstvo			amiraute	
n09771435			ammiratore adoratore	admirer	adorator				adorateur admirateur	adorator
n01248191			ammissione accesso	admission admittance					acces  admission admittance	admissum admissio
n09772330		adoptierte	adottate adottati adottato adottata	adoptee					adoptee adopte	adoptatus adoptata
n01185292	adopce	adoption		adoption	adopcja	adopcija	adopsjon		adoption	
v01777817	adore	verehren		adore	adore				adorer venerer	adoro
n05408388	adrenalin	adrenalin	adrenalina  epinefrina	adrenalin adrenaline epinephrine epinephrin	epinefryna adrenalina	adrenalin	adrenalin	adrenalin	adrenaline	adrenalinum  adrenalina
a02309668	adrenokortikotropni		adrenocorticotropo	adrenocorticotrophic adrenocorticotropic	adrenokortykotropowy		adrenokortikotropt			
n05408113	acth kortikotropin	corticotropin acth	corticotropina acth	adrenocorticotropin adrenocorticotrophin acth corticotrophin corticotropin	kortykotropina hormon adrenokortykotropowy adrenokortykotropina acth				corticotrophine acth hormone corticotrope	
v01540232	adsorbovat	adsorbieren	adsorbire	adsorb	adsorbowac	adsorbirovat'	adsorbere		adsorber	adsorbere
n13427789	adsorpce	adsorption		adsorption	adsorpcja	adsorbtsiia			adsorption	
n10095869			adulatore	adulator flatterer					flatteuse adulateur adulatrice flatteur	adulator
a01908539				adulterated  adulterate					adulterez adulterent adulterees adulterames adulteree adultera adulterons adulteres adultere adulterai	
n09772746	cizoloznik		fornicatore adultero	adulterer fornicator	cudzoloznik				adultere	adulter adultera
n07445265			progressione	advance  progression progress					progres progresser avance progression avancer	
n13427989	advekce	advektion		advection	adwekcja		adveksjon		advection	
n15241507		advent	avvento	advent	adwent	advent			avent	
n09678747		adventist adventistin	avventista	adventist	adwentysta	adventist adventistka			adventiste	
a01349435		adventiv adventiv-	avventizio	adventitious  accidental			adventiv-		accidentel adventice	
n00796315		abenteuer	avventura	adventure escapade	eskapada	avantjura	eventyr		aventure escapade	
n09773169	avanturistka	abenteuerin abenteurerin	avventuriera	adventuress		avantiuristka		avantiuristka	aventuriere	
n04662182	avanturismus		avventurismo	adventurism		avantiurizm		avantiurizm	aventurisme	
n06323612		adverb	avverbio	adverb	adverbium adwerbium				adverbe	adverbium
a02936235		adverbial- adverbiell adverbial		adverbial	adwerbialny				adverbial	
n01101329			pubblicita advertising	advertising publicizing			publikasjon		publication publicite	
n06671484	rada	rat	avviso consiglio	advice	porada rada		rad	rada	conseil avis	
n09775663	advokat		avvocato	advocate counsel counsellor counselor	adwokat	advokat			conseiller conseil avocat	
n05040833		adynamie	adinamia	adynamia	adynamia	adinamiia		adinamiia	adynamie	
n02200705	stegomyia	stegomyia ades aedes	stegomyia  aedes	aedes	stegomyia  aedes				aedes	
n12104614		agilops	aegilops	aegilops	egilops				aegilops egilope egilopes	
n15243730		aon		aeon eon	eon	eon			age eon	
n02422699	impala	impala	pala palla aepyceros melampus impala	aepyceros melampus impala	impala	impala	impala	impala	aepyceros melampus impalla impala	
n01522450			aepyornis	aepyornis	epiornis	epiornis		epiornis	aepyornithiformes aepyornis aepyornis	
n01353932	aerobacter aerogenes	aerobacter arogenes	aerobacter aerogenes	aerobacter aerogenes	aerobacter aerogenes				aerobacter aerogenes	
n01353773	aerobacter	arobacter enterobacter	aerobacter  enterobacter	aerobacter genus aerobacter	aerobacter enterobacter				aerobacter  enterobacter	
n00302861	akrobacie	kunstfliegen	acrobazia	aerobatics stunt flying acrobatics	akrobacja				acrobatie	
n01326897	aerob	aerobier	aerobio	aerobe	aerob aerobiont				aerobie	
n00625858	aerobik	aerobic	aerobica	aerobics	aerobik aerobic	aerobika		aerobika	aerobic	
n11473685	aerobioza	arobiose	aerobiosi	aerobiosis	aerobioza				aerobiose	
n02692232		flugplatz	aeroporto	aerodrome airport airdrome	aerodrom aeroport	aerodrom aeroport	flyplass	aeroport	aeroport airport aerodrome	aeroportus
n06626060		aerogramm	aerogramma	aerogram aerogramme	aerogram	aerogramma radiogramma			aerogramme	
n09189289	aerolit	aerolith	aerolito aerolite	aerolite	aerolit	aerolit		aerolit	aerolite aerolithe	aerolithus
n06119226	aerologie	aerologie	aerologia	aerology	aerologia	aerologija		aerologiia	aerologie	
n06114351	aerodynamika	aerodynamik	aeromeccanica aerodinamica	aeromechanics aerodynamics	aeromechanika	aeromekhanika aerodinamika		aerodinamika aeromekhaniki	aerodynamique	
n09826204	pilot	flieger	pilota aviatore aeronauta	aeronaut aviator flier flyer	awiator aeronauta		flyger		aeronaute pilote aviateur	
a02607298	aeronauticky	aeronautisch		aeronautic aeronautical	aeronautyczny				aeronautique aeronautique	aeronauticus
n06096913	vzduchoplavba astronautika kosmonautika aeronautika		cosmonautica aeronautica astronautica	aeronautics astronautics	kosmonautyka astronautyka	aeronavtika  vozduxoplavanije	astronautikk aeronautikk	aeronavtika  astronavtika	astronautique aeronautique	
n00840057	aerofagie	luftschlucken aerophagie	aerofagia	aerophagia	aerofagia	aerofagiia	aerofagi luftsluking	aerofagiia	aerophagie	
n02691156	letoun		areoplano aeroplano	aeroplane plane airplane	samolot aeroplan	samoljot  aeroplan		aeroplan	aeroplane	aeroplanum
a01255022	letni	sommer-	estivo	aestival estival		letnij			estival estiva	
n06254915		ather	etere	aether ether	eter	efir			ether	
r00100883		afar	lontano afar	afar	daleko afar	daleko	afar		loin	
a00854255	emocionalni emotivni afektivni	affektiv emotive emotiv	emotivo emotive affettive affettivo affettuoso	affective  emotive	emocjonalny	emocionalnyj			affectif  emotif	
n02110627		affenpinscher	affenpinscher	affenpinscher	affenpinczer	affenpincher	affenpinscher		affenpinscher	
n06308049		affix	affisso	affix	afiks	affiks			affixe	
n07118990	afrikata	affrikata affrikate affrikat	affricata	affricate affricative	afrykata	affrikata	affrikat			
n02088094	afgansky chrt	afghane	levriero afgano	afghan	afgan	afganskaja borzaja	afghaner	afgans'kii khort afgans'ka khortitsia	afghan levrier afghan	
n13663229			afghani	afghani	afghani  afgani	afgani			afghani	
a03003928	afghansky afgansky	afghanisch		afghani  afghanistani afghan	afganski	afganskij			afghan	
n06975132	paststina afghanistan afghanec afganistan	paschto  paschtu afghanisch	afghano afgano	afghani  paxto pashtu pashto afghan		pasto afganskij pustu	pushto  afghanistan pashto	pushtu afganistan	pashto pachto afghan	afgania
n09689435	afghanec afganec	afghane  afghanin		afghanistani afghan	afgan afganczyk	afganka afganec			afghan	
n12357968	guinejsky pepr rajske zrno amomum melegueta	meleguetapfeffer guineapfeffer malagettapfeffer	grani di paradiso aframomum melegueta amomum melegueta	aframomum melegueta grains of paradise  guinea pepper melagueta pepper	rajskie ziarno				aframomum melegueta	
a02941790	africky	afrikanisch		african	afrykanski  afrykanczyk	afrikanskij		afrykanskyj	africaine africain	
n09634494	african africanka	afrikaner afrikanerin	africano	african	afrykanin afrykanczyk	afrikanec afrikanka		afrykanec afrykanka	africaine africain	
